Order Number,Order Date,Item Name,Quantity,Product Price,Total products
16067,31/07/2019,Pilau Rice,1,2.95,4
16067,31/07/2019,Plain Naan,1,2.6,4
16067,31/07/2019,Green Salad,1,2.95,4
16066,31/07/2019,Sheek Kebab,1,4.95,7
16066,31/07/2019,Vegetable Biryani,1,9.95,7
16066,31/07/2019,Aloo Chaat,1,4.95,7
16066,31/07/2019,Madras - King Prawn,1,11.95,7
16066,31/07/2019,Pilau Rice,2,2.95,7
16066,31/07/2019,Butter Chicken,1,9.95,7
16066,31/07/2019,Plain Papadum,1,0.8,7
16065,31/07/2019,Chicken Tikka Masala,1,8.95,11
16065,31/07/2019,Plain Naan,5,2.6,11
16065,31/07/2019,Rogon - Chicken,1,8.95,11
16065,31/07/2019,Chicken Tikka (Main),1,8.95,11
16065,31/07/2019,Madras - Chicken Tikka,2,7.95,11
16065,31/07/2019,Garlic Naan,1,2.95,11
16065,31/07/2019,Bombay Aloo,1,5.95,11
16065,31/07/2019,Saag Aloo,1,5.95,11
16065,31/07/2019,French Fries,1,3.95,11
16065,31/07/2019,Pilau Rice,2,2.95,11
16065,31/07/2019,Onion Bhajee,3,3.95,11
16064,31/07/2019,Plain Papadum,4,0.8,5
16064,31/07/2019,Mint Sauce,1,0.5,5
16064,31/07/2019,Chicken Tikka Karahi,1,9.95,5
16064,31/07/2019,Mushroom Bhajee,1,5.95,5
16064,31/07/2019,Plain Rice,2,2.95,5
16063,31/07/2019,Chicken Tikka,1,4.95,4
16063,31/07/2019,Royal Paneer,1,5.95,4
16063,31/07/2019,Garlic Naan,1,2.95,4
16063,31/07/2019,Bottle Diet Coke,1,2.95,4
16062,31/07/2019,Korma - Chicken,1,8.95,5
16062,31/07/2019,Peshwari Naan,1,2.95,5
16062,31/07/2019,Lemon Rice,1,3.95,5
16062,31/07/2019,Mushroom Rice,1,3.95,5
16062,31/07/2019,Lamb Sylhet,1,9.95,5
16061,31/07/2019,Spicy Papadum,2,0.8,5
